Yellowstone,M 514.5 52.5 L 514.5 72.5 L 513.5 73.5 L 493.5 73.5 L 493.5 93.5 L 492.5 94.5 L 472.5 94.5 L 472.5 134.5 L 492.5 134.5 L 493.5 135.5 L 493.5 239.5 L 513.5 239.5 L 514.5 240.5 L 514.5 302.5 L 534.5 302.5 L 535.5 303.5 L 535.5 323.5 L 596.5 323.5 L 596.5 115.5 L 576.5 115.5 L 575.5 114.5 L 575.5 73.5 L 555.5 73.5 L 554.5 72.5 L 554.5 52.5 z
Roosevelt,M 598.5 31.5 L 598.5 71.5 L 617.5 71.5 L 617.5 51.5 L 618.5 50.5 L 638.5 50.5 L 638.5 31.5 z
Musselshell,M 514.5 31.5 L 514.5 50.5 L 554.5 50.5 L 554.5 31.5 z
Teton,M 325.5 31.5 L 325.5 71.5 L 344.5 71.5 L 344.5 51.5 L 345.5 50.5 L 365.5 50.5 L 365.5 31.5 z
Lewis and Clark,M 283.5 31.5 L 283.5 51.5 L 282.5 52.5 L 262.5 52.5 L 262.5 93.5 L 261.5 94.5 L 241.5 94.5 L 241.5 113.5 L 261.5 113.5 L 262.5 114.5 L 262.5 176.5 L 282.5 176.5 L 283.5 177.5 L 283.5 197.5 L 323.5 197.5 L 323.5 177.5 L 324.5 176.5 L 344.5 176.5 L 344.5 73.5 L 324.5 73.5 L 323.5 72.5 L 323.5 31.5 z
Sheridan,M 619.5 10.5 L 619.5 29.5 L 638.5 29.5 L 638.5 10.5 z
Daniels,M 598.5 10.5 L 598.5 29.5 L 617.5 29.5 L 617.5 10.5 z
Valley,M 577.5 10.5 L 577.5 71.5 L 596.5 71.5 L 596.5 10.5 z
Phillips,M 556.5 10.5 L 556.5 50.5 L 575.5 50.5 L 575.5 10.5 z
Blaine,M 514.5 10.5 L 514.5 29.5 L 554.5 29.5 L 554.5 10.5 z
Fergus,M 493.5 10.5 L 493.5 51.5 L 492.5 52.5 L 472.5 52.5 L 472.5 92.5 L 491.5 92.5 L 491.5 72.5 L 492.5 71.5 L 512.5 71.5 L 512.5 10.5 z
Hill,M 451.5 10.5 L 451.5 71.5 L 470.5 71.5 L 470.5 51.5 L 471.5 50.5 L 491.5 50.5 L 491.5 10.5 z
Liberty,M 430.5 10.5 L 430.5 29.5 L 449.5 29.5 L 449.5 10.5 z
Cascade,M 388.5 10.5 L 388.5 30.5 L 387.5 31.5 L 367.5 31.5 L 367.5 51.5 L 366.5 52.5 L 346.5 52.5 L 346.5 113.5 L 366.5 113.5 L 367.5 114.5 L 367.5 134.5 L 387.5 134.5 L 388.5 135.5 L 388.5 155.5 L 429.5 155.5 L 430.5 156.5 L 430.5 176.5 L 449.5 176.5 L 449.5 31.5 L 429.5 31.5 L 428.5 30.5 L 428.5 10.5 z
Toole,M 346.5 10.5 L 346.5 29.5 L 386.5 29.5 L 386.5 10.5 z
Pondera,M 304.5 10.5 L 304.5 29.5 L 344.5 29.5 L 344.5 10.5 z
Glacier,M 241.5 10.5 L 241.5 29.5 L 261.5 29.5 L 262.5 30.5 L 262.5 50.5 L 281.5 50.5 L 281.5 30.5 L 282.5 29.5 L 302.5 29.5 L 302.5 10.5 z
Flathead,M 73.5 10.5 L 73.5 30.5 L 72.5 31.5 L 52.5 31.5 L 52.5 71.5 L 72.5 71.5 L 73.5 72.5 L 73.5 92.5 L 260.5 92.5 L 260.5 31.5 L 240.5 31.5 L 239.5 30.5 L 239.5 10.5 z
Lincoln,M 10.5 10.5 L 10.5 92.5 L 29.5 92.5 L 29.5 72.5 L 30.5 71.5 L 50.5 71.5 L 50.5 30.5 L 51.5 29.5 L 71.5 29.5 L 71.5 10.5 z
